"Name of Institution","Primary Contact","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country"
"Instituto Federal de Educação, Ciência e Tecnologia do Amazonas","Valdely Ferreira Kinupp","Campus Manaus-Zona Leste (IFAM-CMZL)","Avenida Cosme Ferreira  8.045","","São José Operário, Manaus","Amazonas","","Brazil"
"Universidade Federal da Paraiba, Campus III - CCA","Genaro Viana Dornelas","Departamento de Fitotecnia","","","58397-000 Areia","Paraíba","","Brazil"
"Escuela Agrícola Panamericana","Lilian Ferrufino","P.O. Box 93","","","Tegucigalpa","","","Honduras"
"Earlham College","Brent H. Smith","Biology Department","Box 57","","Richmond","Indiana","","USA"
"Edinburgh Academy Field Centre","","Blaire House","","","Acharn, Tayside Region","Scotland","","United Kingdom"
"Eastbourne Museum","","Grove Road","","","Eastbourne, East Sussex","England","","United Kingdom"
"Hubei Forestry Institute","","Jioufeng","","","Wuhan","Hubei","","China"
"Botanical Society of Edinburgh","","","","","Edinburgh","Scotland","","United Kingdom"
"Edinburgh Natural History Society","","37/2 Dreghorn Loan","","","Edinburgh","Scotland","","United Kingdom"
"Universidad Michoacana de San Nicolás de Hidalgo","Xavier  Madrigal Sánchez","Facultad de Biología","","","58040 Morelia","Michoacán","","Mexico"
"Laboratoire de Biologie Générale et de Botanique","","","","","Lubumbashi","","","Democratic Republic of the Congo"
"Elmira College","Todd P. Egan","Division of Math and Natural Sciences","One Park Place, 10 Carnegie Hall","","Elmira","New York","","USA"
"Hubei College of Traditional Chinese Medicine","","Department of Chinese Materia Medica","110 Yunjiaqiao, Wuchang","","Wuhan","Hubei","","China"
"East Central University","Rahmona A. Thompson","Biology Department","1100  E. 14th St.","","Ada","Oklahoma","","USA"
"Edith Cowan University","Kristina Lemson","School of Natural Sciences","100 Joondalup Drive","","Joondalup","Western Australia","","Australia"
"Universidad Estatal Amazónica","Mercedes Asanza","Paso lateral, km 2 ½ vía a Napo","","","Puyo","","",""
"East Carolina University","Jinling Huang","Department of Biology","Howell Science Complex N108Mailstop 551","","Greenville","North Carolina","","USA"
"Emirates Centre for Wildlife Propagation","Mathieu Chambouleyron","BP 47Route de Midelt","","","33250 Missour","","","Morocco"
"Hubei Institute for Drug Control","","110 Dingziqiao Road, Wuchang","","","Wuhan","Hubei","","China"
"Plinian Society","","","","","Edinburgh","Scotland","","United Kingdom"
"Trakya Üniversitesi","Mehmet Aybeke","Fen Edebiyat Fakültesi, Biyoloji Bölümü","Balkan Yerleskesi","","Edirne","","","Turkey"
"Escola de Florestas","Christopher T. Blum","Caixa Postal 2959","","","80000 Curitiba","Paraná","","Brazil"
"Epping Forest Conservation Centre","","Field Studies Council","High Beach","","Loughton, Essex","England","","United Kingdom"
"Forestry Commission","Stan N. Akilo","Private Mail Bag 1028","","","Enugu","","","Nigeria"
"Epping Forest Museum","","Corporation of London","Conservators of Epping Forest","Queen Elizabeth's Hunting Lodge, Ranger's Road","Chingford, London","England","","United Kingdom"
"Ege University","Özcan  Seçmen","Botanic Garden and Herbarium Research and Application Center","","","35100 Bornova","","","Turkey"
"University of Edinburgh","","","","","Edinburgh","Scotland","","United Kingdom"
"University of Edinburgh","Philip M. Smith","Division of Biological Sciences","King's Buildings, Mayfield Road","","Edinburgh EH9 3JH","Scotland","","United Kingdom"
"University of Edinburgh","","Forestry and Natural Resources Department","King's Buildings, Mayfield Road","","Edinburgh","Scotland","","United Kingdom"
"Eszterházy Károly College","Sándor  Orbán","Botany Department","P.O. Box 43","","H-3301 Eger","","","Hungary"
"Emory and Henry College","Christy Flinn","Biology Department","","","Emory","Virginia","","USA"
"Université d'Etat d'Haiti","Robers Pierre Tescar","Faculté d'Agronomie et de Médecine Vétérinaire","","","Damien","","","Haiti"
"Universidad de Chile","Rodolfo  Gajardo","Departamento de Silvicultura","Facultad de Ciencias Forestales","Casilla 9206","Santiago","","","Chile"
"Eastern Illinois University","Gordon C. Tucker","Biological Sciences Department","","","Charleston","Illinois","","USA"
"Eastern Kentucky University","Ronald L. Jones","Biological Sciences Department","521 Lancaster Avenue, 170 Memorial Science Building","","Richmond","Kentucky","","USA"
"Elgin Museum","Susan  Bennett","Moray Society","1 High Street","","Elgin, Moray IV30 1EQ","Scotland","","United Kingdom"
"Central Washington University","Jim  Johnson","Biological Sciences Department","","","Ellensburg","Washington","","USA"
"Aldenham School","","Biology Department","","","Elstree, Hertfordshire","England","","United Kingdom"
"National Station for Plant Breeding","","Laboratory of Phytosystematics and Ecology","Apartado 6","","P-7351 Elvas Codex","","","Portugal"
"Universidade Federal de Ouro Prêto","","Escola de Minas","Praça Tiradentes 20","","35400 Ouro Prêto","Minas Gerais","","Brazil"
"Sichuan School of Chinese Materia Medica","Zheng-Yin  Zhu","","","","Emeishan","Sichuan","","China"
"Eastern Michigan University","Margaret Hanes","Biology Department","Mark Jefferson Bldg.","","Ypsilanti","Michigan","","USA"
"Universidad Politécnica de Madrid","Paloma Gil Borrell","Unidad Docente Botánica, Departamento Silvopascicultura","Escuela Técnica Superior Ingenieros de Montes","Ciudad Universitaria","28040 Madrid","","","Spain"
"The Everhart Museum of Natural History, Science and Art","Nezka Pfeifer","1901 Mulberry Street, Nay Aug Park","","","Scranton","Pennsylvania","","USA"
"Universidad Nacional Agraría","","Departamento de Ciencias Básicas","Km 12 1/2, Carretera Norte, Apartado 453","","Managua","","","Nicaragua"
"Instituto Politécnico Nacional","Rafael Fernández Nava","Departamento de Botánica","Escuela Nacional de Ciencias Biológicas","Apartado Postal 17-564","11410 Mexico City","Distrito Federal","","Mexico"
"Royal Holloway College, University of London","","Botany Department","","","Englefield Green, Surrey","England","","United Kingdom"
"Hubei College for Nationalities","","Forestry Department","113 Tuqiao Road","","Enshi","Hubei","","China"
"Escuela Normal Superior de Jalisco","","Ciencias Naturales","Apartado Postal 45030","","Guadalajara","Jalisco","","Mexico"
"Ministry of Natural Resources","","P.O. Box 1752, Nakawa, Portbell Road","","","Kampala","","","Uganda"
"Upsala College","","Biology Department","","","East Orange","New Jersey","","USA"
"Eastern Oregon University","Karen S. Antell","Biology Department","1410 L Avenue","","LaGrande","Oregon","","USA"
"Official Seed Testing Station, Agricultural Scientific Services","","Department of Agriculture and Fisheries for Scotland","East Craigs, Craigs Road","","Edinburgh","Scotland","","United Kingdom"
"Snow College","Luis F. Gordillo","Biology Department","","","Ephraim","Utah","","USA"
"Epsom College Museum","","","","","Epsom, Surrey","England","","United Kingdom"
"Centre de Formation et de Recherche en Conservation Forestière","Corneille Ekokinya Ewango","Institut Congolais pour la Conservation de la Nature","P.O. Box 240","","Gombe","Province Orientale","","Democratic Republic of the Congo"
"Universität Erlangen-Nürnberg","Werner Nezadal","Lehrstuhl für Molekulare Pflanzenphysiologie","Department Biologie","Staudtstrasse 5","D-91058 Erlangen","","","Germany"
"Universidad Nacional de Entre Ríos","Juan de  Dios Muñoz","Botánica Sistemática","Facultad de Ciencias Agropecuarias","Casilla de Correo 24","3100 Paraná","Entre Ríos","","Argentina"
"Yerevan State University","Lia Levonovna Osipyan","Botany Department","1 A. Manoogian Street","","375049 Yerevan","","","Armenia"
"Ecosystem Research Development Bureau, University of the Philippines","","College of Forestry and Natural Resources","","","Los Baños","","","Philippines"
"Institute of Botany of the National Academy of Sciences of Armenia","Ivan G. Gabrielian","Department of Plant Taxonomy and Geography","","","375063 Yerevan 63","","","Armenia"
"Institute of Botany of the National Academy of Sciences of Armenia","","Mycology Department","","","375063 Yerevan 63","","","Armenia"
"Borough of Erith Museum","","Walnut Tree Road","","","Erith, Kent","England","","United Kingdom"
"Yerevan State University","Lia Levonovna Osipyan","Botany Department","1 A. Manoogian Street","","375049 Yerevan","","","Armenia"
"Fürstin-Eugenie-Institut für Arzneipflanzenforschung","","","","","Schloss Lindich","","","Germany"
"Universidade de São Paulo","Gerson Oliveira Romao","Departamento de Ciências Biológicas","Escola Superior de Agricultura Luiz de Queiroz","Avenida Pádua Dias, 11 Caixa Postal 9","13418-900 Piracicaba","São Paulo","","Brazil"
"Universidade Federal de Lavras","Manuel Losada Gavilanes","Departamento de Biologia","Caixa Postal 37","","37200-000 Lavras","Minas Gerais","","Brazil"
"Seker Enstitüsü","Holusi  Sevilmis","Türkiye Seker Fabrikalari A. S.","","","06790 Etimesgut","Ankara","","Turkey"
"École des Sciences de Niamey","","Laboratoire de Biologie Végétale","B.P. 91","","Niamey","","","Niger"
"Scottish Natural History Society","","","","","Edinburgh","Scotland","","United Kingdom"
"University of Duisburg Essen","Manfred Jensen","Faktultät für Biologie","","","D-45117 Essen","","","Germany"
"Anadolu University","K. Hüsnü Can Baser","Faculty of Pharmacy","","","TR-6470 Eskisehir","","","Turkey"
"Addis Ababa University","Sebsebe Demissew","Biology Department","Science Faculty","P.O. Box 3434","Addis Ababa","","","Ethiopia"
"Lake Forest College","Victoria Anne Jones","555 North Sheridan Road","","","Lake Forest","Illinois","60045","USA"
"Eton College Museum","George Fussey","","","","Eton, Buckinghamshire SL4 6DB","England","","United Kingdom"
"Texas A&amp;M University","Jeff  Kopachena","Biology Department","","","Commerce","Texas","","USA"
"East Tennessee State University","Tim  McDowell","Biological Sciences Department","Box 70703","","Johnson City","Tennessee","","USA"
"Hubei University","","Biology Department","","","Wuhan","Hubei","","China"
"The Evergreen State College","Frederica Saeker Bowcutt","2700 Evergreen Parkway NW, Lab II","","","Olympia","Washington","","USA"
"Everhart Museum","","Natural History Department","Nay Aug Park","","Scranton","Pennsylvania","","USA"
"Ewha Womans University","Nam Sook Lee","Natural History Museum","Daehyun, Seodaemun","","Seoul 120-750","","","South Korea"
"Elizabeth Winston Mize Herbarium","Hillary Jane Loring","P. O. Box 313","","","Washington","TX","77880","USA"
"Exton Hall","","","","","Exton, Leicestershire","England","","United Kingdom"
"University of Exeter","","Biological Sciences Department","Hatherly Biological Laboratories","Prince of Wales Road","Exeter, Devon EX4 4PS","England","","United Kingdom"
"Universidad Nacional del Centro de la Provincia de Buenos Aires","Carlos Oscar D'Alfonso","Facultad de Agronomía","CC 47","","7300. Azul. Buenos Aires","Buenos Aires","7300","Argentina"
"Harmas de J. H. Fabre","Anne Marie Slézec","","","","F-84830 Sérignan-du-Comtat","","","France"
"Museum of Fanjingshan National Nature Reserve","","","","","Jiangkou","Guizhou","","China"
"Kharazmi University","Farrokh Ghahremaninejad","Department of Plant Biology","Faculty of Biological Sciences","43 Dr. Moffateh Avenue","Tehran","","","Iran"
"Longwood University","Erika Gonzalez","Department of Biological and Environmental Science","201 High St.","","Farmville","Virginia","","USA"
"Florida Atlantic University","","Biological Sciences Department","2912 College Avenue","","Davie","Florida","","USA"
"Universidad de Caldas","Luis Miguel Alvarez Mejía","Departamento de Sistemas de Producción","Facultad de Ciencias Agropecuarias","Apartado Aéreo 275","Manizales","Caldas","","Colombia"
"Albert-Ludwigs Universität","Ulrich  Deil","Institut für Biologie II","Lehrstuhl für Geobotanik","Schänzlestraße 1","D-79104 Freiburg","","","Germany"
"Freshwater Biological Association","","Ferry House, Far Sawrey","","","Ambleside, Cumbria","England","","United Kingdom"
"University of Sierra Leone, Fourah Bay College","","Botany Department","","","Freetown","","","Sierra Leone"
"Universidad Autónoma de Baja California Sur","Gerardo González Barba","Museo de Historia Natural","Area de Ciencias del Mar","Apartado Postal 19-B","23080 La Paz","Baja California Sur","","Mexico"
"Museum für Naturkunde","","Gerberau 32","","","W-7800 Freiburg","","","Germany"
"Pontificia Universidade Católica do Rio de Janeiro","Josafá Carlos Siqueira","Nucleo Interdisciplinar de Meio Ambiente","Rua Marquês de São Vicente 225, Ed. Predio Leonel Franca, sétimo andar","","22453-900 Rio de Janeiro","Rio de Janeiro","","Brazil"
"Universidad Nacional Autónoma de México, Ciudad Universitaria","Joaquín  Cifuentes B.","Departamento de Biología","Facultad de Ciencias","Apartado Postal 70-399","04510 Mexico City","Distrito Federal","","Mexico"
"Universidad de Oviedo","Carmen  M. Fernández-Carvajal Álvarez","Departamento de Biología de Organismos y Sistemas","","","E-33006 Oviedo","","","Spain"
"Universidad Nacional de Asunción","Rosa Degen de Arrúa","Departamento de Botánica, Dirección de Investigación","Facultad de Ciencias Químicas","Casilla de Correo Campus UNA","11001-3291 San Lorenzo","","","Paraguay"
"Fukien Christian University","","","","","Fuzhou","Fujian","","China"
"Guyana Forestry Commission","Sumedha  Mahadeo","1 Water Street","","","Kingston, Georgetown","","","Guyana"
"University of Wisconsin Center","Elizabeth Lamb Hayes","Biology Department","Prairie Road","","Fond du Lac","Wisconsin","","USA"
"Lycée Félix Esclangon, Région PACA","Michel Martinet","","","","04100 Manosque","","","France"
"Università de Ferrara","Filippo  Piccoli","Dipartimento di Biologia - Sezione di Botanica","Corso Porta Mare 2","","I-44100 Ferrara","","","Italy"
"Universidad Nacional Autónoma de México","Alejandrina Graciela Avila Ortiz","Carrera de Biologia","Facultad de Estudios Superiores Zaragoza","Apartado Postal 9-020, Iztapalapa","09230 Mexico City","Distrito Federal","","Mexico"
"Atlantic Forestry Centre, Canadian Forest Service","J. Edward Hurley","Natural Resources Canada","P. O. Box 4000","","Fredericton","New Brunswick","","Canada"
"Florissant Fossil Beds National Monument","Herb W. Meyer","P. O. Box 185","","","Florissant","Colorado","80816","USA"
"Forfar Museum and Art Gallery, Meffan Institute","","Angus District Council","20 West High Street","","Forfar","Scotland","","United Kingdom"
